model_path,task_path,n_shot,eval_suite
MultiSynt/nemotron-cc-basque-opus,include_base_44_basque,0,lm-eval-harness
MultiSynt/nemotron-cc-basque-opus,belebele_eus_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-basque-opus,belebele_eus_Latn_cf,5,lighteval
MultiSynt/nemotron-cc-catalan-opus,belebele_cat_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-catalan-opus,copa_ca,0,lm-eval-harness
MultiSynt/nemotron-cc-catalan-opus,belebele_cat_Latn_cf,5,lighteval
MultiSynt/nemotron-cc-danish-tower9b,belebele_dan_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-danish-tower9b,flores200:dan_Latn-eng_Latn,0,lighteval
MultiSynt/nemotron-cc-danish-tower9b,flores200:eng_Latn-dan_Latn,0,lighteval
MultiSynt/nemotron-cc-danish-tower9b,belebele_dan_Latn_cf,5,lighteval
MultiSynt/nemotron-cc-dutch-tower9b,belebele_nld_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-dutch-tower9b,flores200:nld_Latn-eng_Latn,0,lighteval
MultiSynt/nemotron-cc-dutch-tower9b,flores200:eng_Latn-nld_Latn,0,lighteval
MultiSynt/nemotron-cc-dutch-tower9b,global_mmlu_full_nl,5,lm-eval-harness
MultiSynt/nemotron-cc-dutch-tower9b,include_base_44_dutch,0,lm-eval-harness
MultiSynt/nemotron-cc-dutch-tower9b,belebele_nld_Latn_cf,5,lighteval
MultiSynt/nemotron-cc-finnish-tower72b,belebele_fin_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-finnish-tower72b,flores200:fin_Latn-eng_Latn,0,lighteval
MultiSynt/nemotron-cc-finnish-tower72b,flores200:eng_Latn-fin_Latn,0,lighteval
MultiSynt/nemotron-cc-finnish-tower72b,include_base_44_finnish,0,lm-eval-harness
MultiSynt/nemotron-cc-finnish-tower72b,belebele_fin_Latn_cf,5,lighteval
MultiSynt/nemotron-cc-french-tower9b,belebele_fra_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-french-tower9b,flores200:fra_Latn-eng_Latn,0,lighteval
MultiSynt/nemotron-cc-french-tower9b,flores200:eng_Latn-fra_Latn,0,lighteval
MultiSynt/nemotron-cc-french-tower9b,global_mmlu_full_fr,5,lm-eval-harness
MultiSynt/nemotron-cc-french-tower9b,mgsm_native_cot_fr,5,lm-eval-harness
MultiSynt/nemotron-cc-french-tower9b,include_base_44_french,0,lm-eval-harness
MultiSynt/nemotron-cc-french-tower9b,belebele_fra_Latn_cf,5,lighteval
MultiSynt/nemotron-cc-german-tower72b,belebele_deu_Latn,5,lm-eval-harness
MultiSynt/nemotron-cc-german-tower72b,flores200:deu_Latn-eng_Latn,0,lighteval
MultiSynt/nemotron-cc-german-tower72b,flores200:eng_Latn-deu_Latn,0,lighteval
MultiSynt/nemotron-cc-german-tower72b,global_mmlu_full_de,5,lm-eval-harness
